Ann,Brigoe,Jay,Matt,Vero,Gabby,Nick
Red Bull,Red Bull,Red Bull,Red Bull,Red Bull,Ferrari,Red Bull
Ferrari,Aston Martin,Ferrari,Ferrari,Ferrari,Mercedes,Ferrari
Aston Martin,Ferrari,Mercedes,Mercedes,Mercedes,Red Bull,Mercedes
Mercedes,Mercedes,Alpine,Alpine,Aston Martin,Aston Martin,Aston Martin
Alpine,Alpine,McLaren,Aston Martin,Alpine,McLaren,Alpine
Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo,Alpine,Alfa Romeo
Haas,Haas,Aston Martin,McLaren,Haas,Haas,Alpha Tauri
Alpha Tauri,Williams,Haas,Haas,McLaren,Alfa Romeo,Haas
McLaren,Alpha Tauri,Alpha Tauri,Williams,Alpha Tauri,Alpha Tauri,McLaren
Williams,McLaren,Williams,Alpha Tauri,Williams,Williams,Williams
