Ann,Brigoe,Jay,Matt,Vero,Gabby,Nick
Max Verstappen,Max Verstappen,Max Verstappen,Max Verstappen,Max Verstappen,Max Verstappen,Charles Leclerc
Charles Leclerc,Fernando Alonso,Sergio Perez,Sergio Perez,Sergio Perez,Lewis Hamilton,Fernando Alonso
Sergio Perez,Charles Leclerc,Charles Leclerc,Charles Leclerc,Charles Leclerc,Sergio Perez,Max Verstappen
Carlos Sainz,Sergio Perez,Lewis Hamilton,Carlos Sainz,Fernando Alonso,Charles Leclerc,Lewis Hamilton
Fernando Alonso,Lance Stroll,George Russell,Fernando Alonso,Carlos Sainz,Fernando Alonso,Carlos Sainz
Lance Stroll,Carlos Sainz,Carlos Sainz,Lewis Hamilton,Lewis Hamilton,Carlos Sainz,Sergio Perez
Lewis Hamilton,Lewis Hamilton,Fernando Alonso,George Russell,George Russell,George Russell,George Russell
George Russell,George Russell,Lando Norris,Lance Stroll,Lance Stroll,Lando Norris,Lance Stroll
Lando Norris,Pierre Gasly,Zhou Guanyu,Lando Norris,Nico Hulkenberg,Esteban Ocon,Esteban Ocon
Esteban Ocon,Valtteri Bottas,Esteban Ocon,Esteban Ocon,Kevin Magnussen,Lance Stroll,Valtteri Bottas
Pierre Gasly,Zhou Guanyu,Valtteri Bottas,Kevin Magnussen,Lando Norris,Kevin Magnussen,Alex Albon
Yuki Tsunoda,Esteban Ocon,Pierre Gasly,Valtteri Bottas,Yuki Tsunoda,Pierre Gasly,Pierre Gasly
Valtteri Bottas,Alex Albon,Kevin Magnussen,Pierre Gasly,Valtteri Bottas,Valtteri Bottas,Zhou Guanyu
Zhou Guanyu,Kevin Magnussen,Alex Albon,Nico Hulkenberg,Pierre Gasly,Alex Albon,Yuki Tsunoda
Nico Hulkenberg,Nico Hulkenberg,Yuki Tsunoda,Zhou Guanyu,Oscar Piastri,Nico Hulkenberg,Kevin Magnussen
Oscar Piastri,Lando Norris,Oscar Piastri,Oscar Piastri,Esteban Ocon,Oscar Piastri,Nico Hulkenberg
Kevin Magnussen,Yuki Tsunoda,Nico Hulkenberg,Nyck deVries,Zhou Guanyu,Nyck deVries,Lando Norris
Alex Albon,Logan Sargeant,Lance Stroll,Alex Albon,Alex Albon,Yuki Tsunoda,Nyck deVries
Nyck deVries,Nyck deVries,Nyck deVries,Yuki Tsunoda,Nyck deVries,Zhou Guanyu,Oscar Piastri
Logan Sargeant,Oscar Piastri,Logan Sargeant,Logan Sargeant,Logan Sargeant,Logan Sargeant,Logan Sargeant
